season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,viewers,viewers_actual,votes_actual_mean,votes_actual_std,votes_actual_CI_lower,votes_actual_CI_upper,consistency_acceptance,consistency_mse,consistency_kl,certainty_score,confidence_interval_width,relative_uncertainty,is_eliminated
30,10,Amanda Kloots,0.2143413018462901,0.1630114406948734,0.0091866818258404,0.5968879921492292,6.36,6360000.0,1363210.679742405,1036752.7628193947,58427.29641234494,3796207.6300690975,1.0,3.10732659962554e-05,0.0002208891947763,9.645491879195647e-07,3737780.3336567525,0.76052277041675,False
31,1,Jason Lewis,0.0175240463692592,0.0150167088492284,0.0002838697901953,0.0539000211345796,6.125,6125000.0,107334.7840117126,91977.34170152395,1738.7024649462126,330137.6294493,0.2,0.0001280301142449,0.0228505665557995,1.0872124692626757e-05,328398.9269843538,0.8569201731610806,True
31,1,Cheryl Ladd,0.0633457087288462,0.0644603710239041,0.00081834365295,0.231174203800285,6.125,6125000.0,387992.46596418304,394819.77252141264,5012.35487431875,1415941.9982767457,0.2,0.0001280301142449,0.0228505665557995,2.5327948010784215e-06,1410929.643402427,1.017596492602668,False
31,1,Selma Blair,0.0718960085071328,0.0660789361326494,0.0016727364803514,0.2474813317135799,6.125,6125000.0,440363.05210618844,404733.48381247756,10245.510942152325,1515823.1567456769,0.2,0.0001280301142449,0.0228505665557995,2.470755618795561e-06,1505577.6458035246,0.9190904683685424,False
31,1,Joseph Baena,0.0666984716069055,0.0671907825737892,0.0012617864280306,0.249922283336456,6.125,6125000.0,408528.13859229616,411543.5432644588,7728.441871687425,1530773.985435793,0.2,0.0001280301142449,0.0228505665557995,2.429870633365194e-06,1523045.5435641054,1.0073811431510034,False
31,1,Trevor Donovan,0.0641125952738306,0.0623821746618756,0.001060757761293,0.232853709450561,6.125,6125000.0,392689.64605221245,382090.81980398804,6497.141287919625,1426228.970384686,0.2,0.0001280301142449,0.0228505665557995,2.617171968018046e-06,1419731.8290967664,0.9730096620708579,False
31,1,Daniel Durant,0.0629849424375122,0.0636973396744119,0.0006458194345362,0.2421432065490519,6.125,6125000.0,385782.7724297622,390146.2055057729,3955.6440365342255,1483127.1401129428,0.2,0.0001280301142449,0.0228505665557995,2.5631351087178384e-06,1479171.4960764085,1.011310595982627,False
31,1,Wayne Brady,0.0649101226635802,0.0618642654139178,0.0014602849374975,0.228716845204103,6.125,6125000.0,397574.50131442875,378918.62566024653,8944.245242172188,1400890.6768751307,0.2,0.0001280301142449,0.0228505665557995,2.6390820962560468e-06,1391946.4316329586,0.9530757742448178,False
31,1,Sam Champion,0.0688960051392661,0.0661731250671779,0.0011286932727458,0.2371818665499614,6.125,6125000.0,421988.0314780048,405310.39103646466,6913.246295568025,1452738.9326185135,0.2,0.0001280301142449,0.0228505665557995,2.467238824556088e-06,1445825.6863229454,0.9604784041312094,False
31,1,Jessie James Decker,0.0640398702708212,0.0609220443529033,0.0011697886418899,0.23008037036564,6.125,6125000.0,392244.20540877985,373147.5216615327,7164.955431575637,1409242.268489545,0.2,0.0001280301142449,0.0228505665557995,2.6798980618957344e-06,1402077.3130579693,0.9513142999082793,False
